title,genre,director,country,year
38-я параллель,драма; боевик; военный,Кан Джегю,Республика Корея,2004
36 безумных кулаков,боевик; комедия,Чэнь Чжихуа,Гонконг,1977
34-й скорый,Фильм-катастрофа; приключенческий фильм; драма,Андрей Малюков,СССР,1981
33,драма,Патрисия Ригген,США; Чили; Колумбия,2015
32-е августа на Земле,"драма; мелодрама; ,",Дени Вильнёв,Канада,1998
32 декабря,"комедия; фантастика; мелодрама; ,",Александр Муратов,Россия,2004
31-й километр,"ужасы; мистика; ,",Ригоберто Кастаньеда,Мексика; Испания,2006
31 июня,"музыкальный фильм; мюзикл; фэнтези; (; ),",Леонид Квинихидзе,СССР,1978
31,Фильм ужасов,Роб Зомби,США,2016
30 свиданий,комедия; мелодрама,Таисия Игуменцева,Россия,2016
30 ночей паранормального явления с одержимой девушкой с татуировкой дракона,комедийный; фильм ужасов,Крэйг Мосс,США,2012
30 дней ночи,фильм о вампирах,Дэвид Слейд,США,2007
30 дней до рассвета,фильм ужасов; комедия,Андерс Банке,Швеция,2006
30 безумных желаний,независимый кинематограф,Питер Хатчингс,США,2018
29-я улица,комедия; драма,Джордж Галло,США,1991
29 пальм,драма; роуд-муви,Брюно Дюмон,Франция; Германия; США,2003
29 километр,"драма; музыкальный фильм; ,",Леонид Андронов,Россия,2012
28 недель спустя,постапокалиптический; фильм ужасов,Хуан Карлос Фреснадильо,2; Великобритания; США; Испания,2007
28 лет спустя,постапокалиптический; фильм ужасов,Дэнни Бойл,Великобритания; США,2025
28 дней спустя,постапокалиптический; фильм ужасов,Дэнни Бойл,Великобритания,2002
28 дней,"драма; комедия; ,",Бетти Томас,США,2000
27-й день,научная фантастика,Уильям Эшер,США,1957
27 украденных поцелуев,комедия; драма; мелодрама,Нана Джорджадзе,Грузия; Франция; Германия; Россия,2000
27 секунд памяти,документальный,Иван Качалин,Россия; Чехия; Нидерланды,2019
27 свадеб,романтическая комедия,Энн Флетчер,США,2008
25-й час,криминальный фильм; драма,Спайк Ли,США,2002
25 ватт,Комедийная драма,Хуан Пабло Ребелья; Пабло Столь,Уругвай,2001
24-25 не возвращается,"детективный фильм; драма; ,",Алоиз Бренч; Ростислав Горяев,СССР,1968
24 часа откровенного секса,порнофильм; сексплуатационный фильм,Жозе Можика Маринш; 1,Бразилия,1985
24 часа из жизни женщины,комедия,Нэнси Савока,США,1999
24 часа из жизни женщины,экранизация литературного произведения,Виктор Сэвилл; 1,Великобритания,1952
24 часа,триллер,Луис Мандоки,США; Германия,2002
24 часа,боевик; драма,Александр Атанесян,Россия,2000
24 недели,драма,Анна Зора Берашед; 1; 4,Германия,2016
24 кадра,драма,Аббас Киаростами,Иран; Франция,2017
23,триллер; драма; /,Ганс-Христиан Шмидт,Германия,1998
22 минуты,боевик,Василий Сериков,Россия,2014
22 мили,"боевик; триллер; ,",Питер Берг,США,2018
"22 июня, ровно в 4 часа…",драма,Борис Галкин,Россия,1992
22 июля,Драма,Пол Гринграсс,США,2018
21 ночь с Патти,комедия,Арно Ларье; Жан-Мари Ларье,Франция,2015
21 мост,драма; триллер; детектив,Брайан Кирк,США,2019
21 и больше,комедия,Джон Лукас; Скотт Мур,США,2013
21 грамм,драма,Алехандро Гонсалес Иньярриту,США,2003
20 тысяч разновидностей пчёл,драма; ЛГБТ-фильм,Эстибалис Урресола,Испания,2023
20 сигарет,драма; комедия,Александр Горновский,Россия,2007
20 сантиметров,комедия; мюзикл,Рамон Саласар,Испания; Франция,2005
20 миллионов миль до Земли,"научно-фантастический фильм; фильм о монстрах; фильм-катастрофа; приключения; фэнтези; фильм-триллер; фильм ужасов; научно-фантастический фильм ужасов; ,",Натан Юран,США; Италия; ФРГ,1957
20 дней в Мариуполе,документальный фильм; военный фильм,Мстислав Чернов,Украина,2023
20 декабря (телефильм),исторический фильм,Григорий Никулин,СССР,2017
20 000 лье под водой,"приключенческий фильм, научная фантастика",Род Харди,США,1997
20 000 лье под водой,"драма; стимпанк; приключенческий фильм; ,",Ричард Флейшер,США,1954
20 000 лье под водой,фантастика,Стюарт Патон,США,1916
20 000 лет в Синг-Синге,Криминальная мелодрама; Тюремная драма,Майкл Кёртис,США,1932
20 000 дней на Земле,документальный; музыкальный,Айан Форсайт; Джейн Поллард,Великобритания,2014
18-летняя девственница,комедия,Тамара Олсон,США,2008
18-14,исторический; детектив; приключение,Андрес Пуустусмаа,Россия,2007
18 мая,боевик; драма; военный; история,Ким Джи Хун,Республика Корея,2007
18 килогерц,драма,Фархат Шарипов,Казахстан,2020
18 бронзовых бойцов,боевик; драма,Джозеф Го,Гонконг; Китайская Республика,1975
17 девушек,драма,Дельфин Кулин; Мюриэль Кулин,Франция,2011
16 кварталов,криминальный фильм; драма; триллер,Ричард Доннер,США,2006
16 желаний,подростковая; фэнтезийная комедия,Питер Делуиз,США,2010
15 минут славы,Криминальная драма; боевик,Джон Херцфелд,США,2001
15 августа,комедия,Патрик Алессандрен,Франция,2001
14+,мелодрама,Андрей Зайцев,Россия,2015
14 клинков,боевик; триллер,Дэниел Ли,Гонконг; Китай,2010
14 июля,комедия,Рене Клер,Франция,1933
14 амазонок,приключенческий фильм; драма; военный фильм,Чэн Ган; Дун Шаоюн,Гонконг,1972
13-я жертва,ужасы,Мэл Хаус,США,2008
13-й участок,"криминальный фильм; драма; экранизация; ,",Мартин Фрич,Чехословакия,1946
13-й район,боевик,Пьер Морель,Франция,2004
13-й знак,Ужасы,Джонти Эктон; Адам Мэйсон,Великобритания,2000
13-й апостол,фантастический фильм,Сурен Бабаян,СССР,1988
13 убийц,боевик,Такаси Миикэ,Япония,2010
13 стульев,Комедия,Эмерих Йозеф Войтек,Нацистская Германия,1938
13 призраков,фильм ужасов,Уильям Касл,США,1960
13 изгнаний дьявола,фильм ужасов,Хакобо Мартинес,Испания,2022
13 друзей хунты,документальный,,Россия,2014
13 дней во Франции,документальный фильм; спортивный фильм,Клод Лелуш; Франсуа Рейшенбах; Жиль Ги,Франция,1968
13 грехов,"триллер; фильм ужасов; ,",Даниэль Штамм,США,2014
12 стульев,комедия; мюзикл; мелодрама,Марк Захаров,СССР,1976
12 стульев,комедия,Леонид Гайдай,СССР,1971
12 стульев (телеспектакль),телеспектакль,Александр Белинский,СССР,1966
12 раундов,боевик; триллер; криминал,Ренни Харлин,США,2009
12 разгневанных мужчин,процессуальная драма,Уильям Фридкин,США,1997
12 разгневанных мужчин,драма; юридическая,Сидни Люмет,США,1957
12 обезьян,фантастика; триллер; драма; антиутопия,Терри Гиллиам,США,1995
12 могил Ходжи Насреддина,"комедия; сказка; ,",Климентий Минц,СССР,1966
12 месяцев. Новая сказка,"фильм-сказка; комедия; мелодрама; семейный фильм; ,",Денис Елеонский,Россия,2015
12 месяцев,романтическая; фэнтезийная комедия,Александр Баршак,Россия,2013
12 лет рабства,историческая; драма,Стив Маккуин,Великобритания; США,2013
12 дней страха,"ужасы; триллер; драма; ,",Джек Шолдер,ЮАР,2004
12,"психологический; триллер; юридический; детектив; драма; ,",Никита Михалков,Россия,2007
,драма,Филипп Годо,Франция,2013
